gene_id	c_exc_s	c_inc_s	c_missing	c_het_calls	c_stop_codon	c_unq_h
PF3D7_0203100	18361	6064	14396	3965	0	916
PF3D7_1351800	2698	21727	261	2429	8	170
PF3D7_0819100	6377	18048	467	5910	0	99
PF3D7_1342400	6238	18187	4449	1789	0	78
PF3D7_0826200	6682	17743	844	5837	1	367
PF3D7_1335900	11159	13266	5859	5296	4	2764
PF3D7_0205700	2444	21981	1968	476	0	59
PF3D7_1242900	791	23634	301	489	1	30
PF3D7_1362600	3687	20738	1951	1735	1	88
PF3D7_1360300	4493	19932	530	3963	0	264
PF3D7_0411900	13442	10983	7413	6028	1	703
PF3D7_1348700	8597	15828	6795	1802	0	195
PF3D7_1448800	1906	22519	450	1456	0	96
PF3D7_1020700	10319	14106	7331	2988	0	362
PF3D7_0936400	1852	22573	469	1381	2	89
PF3D7_1221600	4785	19640	1236	3549	0	252
PF3D7_0702500	4434	19991	636	3786	12	108
PF3D7_0918000	1504	22921	448	1056	0	67
PF3D7_1342800	4686	19739	3772	914	0	66
PF3D7_0321600	5939	18486	1786	4153	0	353
PF3D7_0914500	10888	13537	4045	6843	0	1890
PF3D7_1121800	9486	14939	5837	3649	0	543
PF3D7_1232100	6688	17737	4615	2073	0	76
PF3D7_0929200	2629	21796	2155	474	0	35
PF3D7_1308200	12305	12120	7168	5137	0	1084
PF3D7_0302000	8327	16098	3366	4961	0	206
PF3D7_0920200	8198	16227	4091	4106	1	379
PF3D7_0831400	7737	16688	2259	5471	7	394
PF3D7_0203000	16430	7995	13059	3369	2	776
PF3D7_0208400	14932	9493	8769	6160	3	1176
PF3D7_0808000	15745	8680	10922	4816	7	525
PF3D7_0709900	15316	9109	10678	4637	1	1112
PF3D7_0405900	8981	15444	1752	7227	2	400
PF3D7_1236100	2752	21673	1391	1361	0	92
PF3D7_1401800	1869	22556	287	1580	2	69
PF3D7_0810700	3887	20538	1410	2476	1	16
PF3D7_1332200	10637	13788	6308	4329	0	791
PF3D7_0309800	1841	22584	770	1071	0	66
PF3D7_1325400	19611	4814	15289	4322	0	1341
PF3D7_1328900	4474	19951	1351	3106	17	70
PF3D7_1247900	3543	20882	862	2681	0	57
PF3D7_0211400	2474	21951	1854	620	0	58
PF3D7_1214800	4341	20084	2779	1562	0	29
PF3D7_1024200	878	23547	437	441	0	46
PF3D7_1472700	13288	11137	10158	3129	1	327
PF3D7_0606000	8360	16065	1444	6916	0	1739
PF3D7_0521400	4951	19474	2814	2132	5	156
PF3D7_0512400	1895	22530	316	1579	0	122
PF3D7_0917000	9589	14836	3721	5867	1	910
PF3D7_0704700	9770	14655	2145	7625	0	944
PF3D7_0621100	9101	15324	3001	6099	1	707
PF3D7_0204400	1461	22964	710	751	0	26
PF3D7_1132000	9894	14531	5575	4319	0	392
PF3D7_1015000	5441	18984	2984	2455	2	88
PF3D7_1009200	7618	16807	1371	6247	0	560
PF3D7_1301900	3761	20664	536	3225	0	38
PF3D7_0423500	1590	22835	665	922	3	32
PF3D7_1408500	1775	22650	701	1074	0	122
PF3D7_0319300	575	23850	175	400	0	13
PF3D7_0211500	10756	13669	6513	4243	0	370
PF3D7_0304300	8496	15929	2694	5802	0	925
PF3D7_0519300	16423	8002	11574	4849	0	304
PF3D7_1011300	8069	16356	6978	1091	0	164
PF3D7_1304700	2487	21938	1183	1304	0	138
PF3D7_0526000	15125	9300	10456	4669	0	527
PF3D7_0321300	10597	13828	4151	6446	0	1341
PF3D7_0827500	1929	22496	797	1132	0	90
PF3D7_0612100	11128	13297	8357	2770	1	146
PF3D7_0625300	19032	5393	13065	5967	0	462
PF3D7_0825600	344	24081	110	234	0	27
PF3D7_1229700	748	23677	552	196	0	28
